GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Zangari;43.454.594/0001-13;Unimed;Saúde;7,00;09/2023;Comissão; R$ 28.876,62 ;5,00; R$ 1.443,83 ;3,50; R$ 50,53 ; R$ 1.393,30 ;14,25;198,55;1.194,75;10,00;119,47
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Zangari;43.454.594/0001-13;Unimed;Saúde;7,00;09/2023;Comissão; R$ 782,65 ;5,00; R$ 39,13 ;3,50; R$ 1,37 ; R$ 37,76 ;14,25;5,38;32,38;10,00;3,24
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Wiler Kar;04.539.316/0001-07;Amil Assistência Médica Internacional S.A.;Saúde;8,00;08/2023;Comissão; R$ 62.045,85 ;5,00; R$ 3.102,29 ;1,50; R$ 46,53 ; R$ 3.055,76 ;14,25;435,45;2.620,31;10,00;262,03
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Zangari;43.454.594/0001-13;Metlife Planos Odontológicos Ltda;Odonto;6,00;09/2023;Comissão; R$ 575,04 ;10,00; R$ 57,50 ;6,50; R$ 3,74 ; R$ 53,76 ;14,25;7,66;46,10;10,00;4,61
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Zangari;43.454.594/0001-13;Metlife Planos Odontológicos Ltda;Odonto;6,00;09/2023;Comissão; R$ 752,48 ;10,00; R$ 75,25 ;6,50; R$ 4,89 ; R$ 70,36 ;14,25;10,03;60,33;10,00;6,03
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Zangari;43.454.594/0001-13;Metlife Planos Odontológicos Ltda;Odonto;6,00;09/2023;Comissão; R$ 829,44 ;10,00; R$ 82,94 ;6,50; R$ 5,39 ; R$ 77,55 ;14,25;11,05;66,50;10,00;6,65
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Wiler Kar;04.539.316/0001-07;Metlife Planos Odontológicos Ltda;Odonto;8,00;09/2023;Comissão; R$ 6.619,48 ;10,00; R$ 661,95 ;6,50; R$ 43,03 ; R$ 618,92 ;14,25;88,20;530,72;10,00;53,08
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Closeup;02.210.084/0001-13;Prudential;Vida;11,00;10/2023;Comissão; R$ 13,93 ;20,00; R$ 2,79 ;3,50; R$ 0,10 ; R$ 2,69 ;14,25;0,38;2,31;10,00;0,23
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;3,00;09/2023;Comissão; R$ 1.385,76 ;2,50; R$ 34,64 ;1,50; R$ 0,52 ; R$ 34,12 ;14,25;4,86;29,26;10,00;2,92
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;3,00;09/2023;Comissão; R$ 39,90 ;5,00;-R$ 2,00 ;1,50;-R$ 3,97 ; R$ 1,97 ;14,25;0,28;1,69;10,00;0,17
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;3,00;09/2023;Comissão; R$ 39,90 ;5,00; R$ 2,00 ;1,50; R$ 0,03 ; R$ 1,97 ;14,25;0,28;1,69;10,00;0,17
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;3,00;09/2023;Comissão; R$ 1.385,76 ;2,50;-R$ 34,64 ;1,50;-R$ 68,76 ; R$ 34,12 ;14,25;4,86;29,26;10,00;2,92
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;3,00;09/2023;Comissão; R$ 13,30 ;5,00; R$ 0,67 ;1,50; R$ 0,01 ; R$ 0,66 ;14,25;0,09;0,57;10,00;0,06
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;3,00;09/2023;Comissão; R$ 461,92 ;2,50; R$ 11,55 ;1,50; R$ 0,17 ; R$ 11,38 ;14,25;1,62;9,76;10,00;0,98
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;3,00;09/2023;Comissão; R$ 461,92 ;2,50;-R$ 11,55 ;1,50;-R$ 22,93 ; R$ 11,38 ;14,25;1,62;9,76;10,00;0,98
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;3,00;09/2023;Comissão; R$ 13,30 ;5,00;-R$ 0,67 ;1,50;-R$ 1,33 ; R$ 0,66 ;14,25;0,09;0,57;10,00;0,06
Monteiro Rusu;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Small;Monteiro Rusu;24.814.369/0001-04;Omint;Saúde;2,00;08/2023;Comissão; R$ 89.989,95 ;1,00; R$ 899,90 ;6,50; R$ 58,49 ; R$ 841,41 ;14,25;119,90;721,51;10,00;72,15
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.666,35 ;2,00; R$ 33,33 ;3,50; R$ 1,17 ; R$ 32,16 ;14,25;4,58;27,58;10,00;2,76
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.561,80 ;2,00; R$ 31,24 ;3,50; R$ 1,09 ; R$ 30,15 ;14,25;4,30;25,85;10,00;2,58
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Lemasa;21.571.621/0001-03;Sul America Seguros de Pessoas e Previdêcia Saúde S.A.;Vida;1,00;08/2023;Comissão; R$ 3.344,33 ;15,00; R$ 501,65 ;2,00; R$ 10,03 ; R$ 491,62 ;14,25;70,06;421,56;10,00;42,15
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Lemasa;21.571.621/0001-03;Sul América Odontológico S.A;Odonto;3,00;10/2023;Comissão; R$ 114,20 ;10,00; R$ 11,42 ;2,00; R$ 0,23 ; R$ 11,19 ;14,25;1,59;9,60;10,00;0,96
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Lemasa;21.571.621/0001-03;Sul América Companhia de Seguro Saúde;Saúde;3,00;10/2023;Comissão; R$ 28.183,20 ;5,00; R$ 1.409,16 ;3,50; R$ 49,32 ; R$ 1.359,84 ;14,25;193,78;1.166,06;10,00;116,61
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Lemasa;21.571.621/0001-03;Sul América Odontológico S.A;Odonto;3,00;10/2023;Comissão; R$ 4.869,40 ;10,00; R$ 486,94 ;2,00; R$ 9,74 ; R$ 477,20 ;14,25;68,00;409,20;10,00;40,92
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Lemasa;21.571.621/0001-03;Sul América Odontológico S.A;Odonto;3,00;10/2023;Comissão; R$ 271,30 ;10,00; R$ 27,13 ;2,00; R$ 0,54 ; R$ 26,59 ;14,25;3,79;22,80;10,00;2,28
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Lemasa;21.571.621/0001-03;Sul América Odontológico S.A;Odonto;3,00;10/2023;Comissão; R$ 14,20 ;10,00; R$ 1,42 ;2,00; R$ 0,03 ; R$ 1,39 ;14,25;0,20;1,19;10,00;0,12
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Odonto;1,00;09/2023;Comissão; R$ 6.632,30 ;10,00; R$ 663,23 ;3,50; R$ 23,21 ; R$ 640,02 ;14,25;91,20;548,82;10,00;54,88
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Odonto;1,00;09/2023;Comissão; R$ 43,10 ;10,00; R$ 4,31 ;3,51; R$ 0,15 ; R$ 4,16 ;14,25;0,59;3,57;10,00;0,36
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Odonto;1,00;10/2023;Comissão; R$ 823,90 ;10,00; R$ 82,39 ;3,50; R$ 2,88 ; R$ 79,51 ;14,25;11,33;68,18;10,00;6,82
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Sul América Companhia de Seguro Saúde;Odonto;1,00;09/2023;Comissão; R$ 240,70 ;10,00; R$ 24,07 ;3,50; R$ 0,84 ; R$ 23,23 ;14,25;3,31;19,92;10,00;1,99
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Lemasa;21.571.621/0001-03;Sul América Companhia de Seguro Saúde;Saúde;3,00;10/2023;Comissão; R$ 8.668,20 ;5,00; R$ 433,41 ;3,50; R$ 15,17 ; R$ 418,24 ;14,25;59,60;358,64;10,00;35,86
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10,00;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10,00;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 2.117,25 ;2,00; R$ 42,35 ;3,50; R$ 1,48 ; R$ 40,87 ;14,25;5,82;35,05;10,00;3,51
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 555,45 ;2,00; R$ 11,11 ;3,50; R$ 0,39 ; R$ 10,72 ;14,25;1,53;9,19;10,00;0,92
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10,00;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10,00;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10,00;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.561,80 ;2,00; R$ 31,24 ;3,50; R$ 1,09 ; R$ 30,15 ;14,25;4,30;25,85;10,00;2,58
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 555,45 ;2,00; R$ 11,11 ;3,50; R$ 0,39 ; R$ 10,72 ;14,25;1,53;9,19;10,00;0,92
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 2.221,80 ;2,00; R$ 44,44 ;3,50; R$ 1,56 ; R$ 42,88 ;14,25;6,11;36,77;10,00;3,67
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 51.683,10 ;2,00; R$ 1.033,78 ;3,50; R$ 36,18 ; R$ 997,60 ;14,25;142,16;855,44;10,00;85,55
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10,00;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.171,35 ;2,00; R$ 23,43 ;3,50; R$ 0,82 ; R$ 22,61 ;14,25;3,22;19,39;10,00;1,94
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 4.443,60 ;2,00; R$ 88,88 ;3,50; R$ 3,11 ; R$ 85,77 ;14,25;12,22;73,55;10,00;7,36
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 390,45 ;2,00; R$ 7,81 ;3,50; R$ 0,27 ; R$ 7,54 ;14,25;1,07;6,47;10,00;0,65
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 1.110,90 ;2,00; R$ 22,22 ;3,50; R$ 0,78 ; R$ 21,44 ;14,25;3,06;18,38;10,00;1,84
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 555,45 ;2,00; R$ 11,11 ;3,50; R$ 0,39 ; R$ 10,72 ;14,25;1,53;9,19;10,00;0,92
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 6.186,75 ;2,00; R$ 123,75 ;3,50; R$ 4,33 ; R$ 119,42 ;14,25;17,02;102,40;10,00;10,24
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 390,45 ;2,00; R$ 7,81 ;3,50; R$ 0,27 ; R$ 7,54 ;14,25;1,07;6,47;10,00;0,65
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;4,00;09/2023;Comissão; R$ 2.221,80 ;2,00; R$ 44,44 ;3,50; R$ 1,56 ; R$ 42,88 ;14,25;6,11;36,77;10,00;3,67
Isar Engenharia;Thamires Rosa;Thamires Rosa;Consultor Interno;01/10/2023;Middle;Isar Engenharia;67.669.424/0001-14;Tokio Marine Seguradora S.A.;Vida;3,00;08/2023;Agenciamento; R$ 2.225,49 ;50,00; R$ 1.112,75 ;3,50; R$ 38,95 ; R$ 1.073,80 ;14,25;153,02;920,78;10,00;92,08
Isar Engenharia;Thamires Rosa;Thamires Rosa;Consultor Interno;01/10/2023;Middle;Isar Engenharia;67.669.424/0001-14;Tokio Marine Seguradora S.A.;Vida;3,00;08/2023;Comissão; R$ 2.225,49 ;20,00; R$ 445,10 ;3,50; R$ 15,58 ; R$ 429,52 ;14,25;61,21;368,31;10,00;36,83
Rogerio Pereira;Wilson Rufino;Wilson Rufino;Consultor Interno;01/10/2023;Small;Rogerio Pereira;32.602.272/0001-58;Porto Seguro - Seguro Saúde S/A;Saúde;1,00;09/2023;Agenciamento; R$ 30,99 ;100,00; R$ 30,99 ;3,50; R$ 1,08 ; R$ 29,91 ;14,25;4,26;25,65;10,00;2,57
Rogerio Pereira;Wilson Rufino;Wilson Rufino;Consultor Interno;01/10/2023;Small;Rogerio Pereira;32.602.272/0001-58;Porto Seguro - Seguro Saúde S/A;Saúde;1,00;09/2023;Agenciamento; R$ 4.720,82 ;100,00; R$ 4.720,82 ;3,50; R$ 165,23 ; R$ 4.555,59 ;14,25;649,17;3.906,42;10,00;390,64
Alta Vista;Claudia Rodrigues;Claudia Rodrigues;Consultor Interno;01/11/2023;Middle;Alta Vista;09.436.110/0001-75;Sulamerica;Saúde;3,00;10/08/2023;Comissão; R$ 100.460,00 ;0,012; R$ 1.205,52 ; 0,02 ; R$ 18,08 ; R$ 1.187,44 ;0,1425;169,209801;1018,227399;0,1;101,8227399
Ftx;Claudia Rodrigues;Claudia Rodrigues;Consultor Interno;01/11/2023;Small;Ftx;15.510.931/0001-07;Bradesco;Saúde;1,00;01/08/2023;Comissão; R$ 6.468,06 ;0,4; R$ 2.587,22 ; 0,04 ; R$ 90,55 ; R$ 2.496,67 ;0,1425;355,7756403;2140,89552;0,1;214,089552
Matec;Claudia Rodrigues;Claudia Rodrigues;Consultor Interno;01/11/2023;Middle;Matec;64.978.646/0001-20;Porto;Saúde;1,00;01/09/2023;Comissão; R$ 136.546,84 ;0,05; R$ 6.827,34 ; 0,04 ; R$ 238,96 ; R$ 6.588,39 ;0,1425;938,8448668;5649,540163;0,1;564,9540163
MTD;Claudia Rodrigues;Claudia Rodrigues;Consultor Interno;01/11/2023;Small;MTD;42.717.036/0001-30;GNDI;Saúde;2,00;01/09/2023;Agenciamento; R$ 1.160,88 ;1; R$ 1.160,88 ; 0,07 ; R$ 75,46 ; R$ 1.085,42 ;0,1425;154,672749;930,750051;0,1;93,0750051
MTD;Claudia Rodrigues;Claudia Rodrigues;Consultor Interno;01/11/2023;Small;MTD;42.717.036/0001-30;GNDI;Saúde;3,00;01/09/2023;Agenciamento; R$ 1.160,88 ;1; R$ 1.160,88 ; 0,07 ; R$ 75,46 ; R$ 1.085,42 ;0,1425;154,672749;930,750051;0,1;93,0750051
TAM;Dalton Gorauskas;Dalton Gorauskas;Consultor Interno;01/11/2023;Corporate;TAM;52.045.457/0001-16;Sulamerica;Saúde;1,00;01/09/2023;Comissão; R$ 41.174,80 ;0,05; R$ 2.058,74 ; 0,04 ; R$ 72,06 ; R$ 1.986,68 ;0,1425;283,1024843;1503,581616;0,1;150,3581616
TAM;Dalton Gorauskas;Dalton Gorauskas;Consultor Interno;01/11/2023;Corporate;TAM;52.045.457/0001-16;Sulamerica;Saúde;2,00;01/10/2023;Comissão; R$ 426.587,20 ;0,05; R$ 21.329,36 ; 0,04 ; R$ 746,53 ; R$ 20.582,83 ;0,1425;2933,053617;17449,77878;0,1;1744,977878
Wana;Dalton Gorauskas;Dalton Gorauskas;Consultor Interno;01/11/2023;Middle;Wana;07.009.769/0002-09;Porto;Saúde;1,00;01/09/2023;Comissão; R$ 78.216,47 ;0,05; R$ 3.910,82 ; 0,04 ; R$ 136,88 ; R$ 3.773,94 ;0,1425;537,7871165;2747,749243;0,1;274,7749243
Wana;Dalton Gorauskas;Dalton Gorauskas;Consultor Interno;01/11/2023;Middle;Wana;07.009.769/0002-09;Porto;Saúde;2,00;01/10/2023;Comissão; R$ 73.053,10 ;0,05; R$ 3.652,66 ; 0,04 ; R$ 127,84 ; R$ 3.524,81 ;0,1425;502,2857207;2561,958605;0,1;256,1958605
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/11/2023;Middle;Master Fórmula;27.945.133/0001-97;metlife;Vida;6,00;09/2023;Comissão; R$ 134,26 ;4,9; R$ 6,58 ; 3,50 ; R$ 0,23 ; R$ 6,35 ;14,25;0,9;5,45;10;0,55
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/11/2023;Middle;Master Fórmula;71.605.265/0102-05;metlife;Vida;6,00;09/2023;Comissão; R$ 713,88 ;21,2; R$ 151,34 ; 3,50 ; R$ 5,30 ; R$ 146,04 ;14,25;20,81;125,23;10;12,52
Metalus;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/11/2023;Middle;Metalus;77.507.796/0001-06;amil;Odonto;4,00;10/2023;Comissão; R$ 2.043,50 ;10; R$ 204,35 ; -   ; R$ -   ; R$ 204,35 ;14,25;29,12;175,23;10;17,53
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;6,00;01/04/2023;Comissão; R$ 1.482,21 ;0,1; R$ 148,22 ; 0,07 ; R$ 9,63 ; R$ 138,59 ;0,1425;19,74859549;118,8380395;0,1;11,88380395
Confirp Contabilidade Ltda.;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;Confirp Contabilidade Ltda.;56.812.993/0001-50;Amil;Odonto;8,00;01/02/2023;Comissão; R$ 11.543,71 ;0,05; R$ 577,19 ; 0,02 ; R$ 8,66 ; R$ 568,53 ;0,1425;81,01519974;243,7562589;0,1;24,37562589
Confirp Associados Ltda.;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;Confirp Associados Ltda.;26.758.309/0001-39;Amil;Odonto;8,00;01/02/2023;Comissão; R$ 882,78 ;0,05; R$ 44,14 ; 0,02 ; R$ 0,66 ; R$ 43,48 ;0,1425;6,195460388;18,64072731;0,1;1,864072731
Financeiro 24 Horas.com;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;Financeiro 24 Horas.com;04.929.302/0001-08;Amil;Odonto;8,00;01/02/2023;Comissão; R$ 1.763,56 ;0,05; R$ 88,18 ; 0,02 ; R$ 1,32 ; R$ 86,86 ;0,1425;12,37688453;37,23922274;0,1;3,723922274
Pacaembu Construtora;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;Pacaembu Construtora;96.298.013/0001-68;Sulamérica;Saúde;4,00;01/07/2023;Fee; R$ 15.600,00 ;1; R$ 15.600,00 ; 0,06 ; R$ 959,40 ; R$ 14.640,60 ;0,1425;2086,2855;10236,02115;0,1;1023,602115
"	Grafica Gonçalves";Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;"	Grafica Gonçalves";61.070.744/0004-10;Sulamérica;Saúde;5,00;01/05/2023;Comissão; R$ 16.426,00 ;0,02; R$ 328,52 ; 0,07 ; R$ 21,35 ; R$ 307,17 ;0,1425;43,7711835;181,8411585;0,1;18,18411585
"	Grafica Gonçalves";Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;"	Grafica Gonçalves";61.070.744/0004-10;Omint;Saúde;4,00;01/06/2023;Comissão; R$ 55.776,59 ;0,02; R$ 1.115,53 ; 0,07 ; R$ 72,51 ; R$ 1.043,02 ;0,1425;148,6306682;626,0715648;0,1;62,60715648
DV3 Soluções Logísticas Ltda;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;DV3 Soluções Logísticas Ltda;57.317.133/0001-03;GNDI;Saúde;5;01/05/2023;Comissão; R$ 51.292,04 ;0,05; R$ 2.564,60 ; 0,07 ; R$ 166,70 ; R$ 2.397,90 ;0,1425;341,701159;1441,821771;0,1;144,1821771
DV3 Soluções Logísticas Ltda;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;DV3 Soluções Logísticas Ltda;57.317.133/0002-94;GNDI;Saúde;5;01/05/2023;Comissão; R$ 46.091,17 ;0,05; R$ 2.304,56 ; 0,07 ; R$ 149,80 ; R$ 2.154,76 ;0,1425;307,0536131;1275,529052;0,1;127,5529052
DV3 Soluções Logísticas Ltda;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;DV3 Soluções Logísticas Ltda;57.317.133/0001-03;Sulamérica;Saúde;6,00;01/04/2023;Comissão; R$ 13.405,00 ;0,02; R$ 268,10 ; 0,04 ; R$ 9,38 ; R$ 258,72 ;0,1425;36,86710125;155,2945791;0,1;15,52945791
Cognita;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;Cognita;16.707.495/0001-23;Sulamérica;Saúde;3,00;01/08/2023;Agenciamento; R$ 91.273,44 ;1; R$ 91.273,44 ; 0,07 ; R$ 5.932,77 ; R$ 85.340,67 ;0,1425;12161,04496;72824,04773;0,1;7282,404773
Cognita;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;Cognita;14.555.616/0001-33;Sulamérica;Saúde;3,00;01/08/2023;Agenciamento; R$ 94.008,61 ;1; R$ 94.008,61 ; 0,07 ; R$ 6.110,56 ; R$ 87.898,05 ;0,1425;12525,47217;74967,71395;0,1;7496,771395
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;03.728.906/0001-15;Omint;Saúde;4,00;01/06/2023;Comissão; R$ 77.171,00 ;0,05; R$ 3.858,55 ; 0,07 ; R$ 250,81 ; R$ 3.607,74 ;0,1425;514,1035556;3093,640694;0,1;309,3640694
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.748.342/0001-10;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 1.510,47 ;0,15; R$ 226,57 ; 0,04 ; R$ 7,93 ; R$ 218,64 ;0,1425;31,15627588;187,4842566;0,1;18,74842566
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.748.323/0001-93;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 1.276,05 ;0,15; R$ 191,41 ; 0,04 ; R$ 6,70 ; R$ 184,71 ;0,1425;26,32092384;158,3873137;0,1;15,83873137
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.779.315/0001-04;Metlife Vida;Vida;1,00;01/05/2023;Comissão; R$ 1.268,22 ;0,15; R$ 190,23 ; 0,04 ; R$ 6,66 ; R$ 183,57 ;0,1425;26,15941541;157,4154296;0,1;15,74154296
